Model,Type,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
RandomForestRegressor,simple,all_features,"[20, 5]",1696.2838801561516,2877379.002077609,1465.7524317380846,0.06408387879992127,0.8671332943961029,0.86708940537201,5.787630081176758
RandomForestRegressor,simple,most_corr_features,"[20, 5]",2190.055626641498,4796343.647784084,1824.490438575546,0.07637014851325401,0.7785226141689687,0.7784494549355958,3.404407024383545
RandomForestRegressor,simple,least_corr_features,"[20, 5]",4830.730432960928,23335956.51593487,4202.841303433951,0.18780787170734242,-0.07756804444228549,-0.07792399072430789,3.3449811935424805
RandomForestRegressor,simple_norm,all_features,"[20, 5]",9622.934958463402,92600877.21481703,8453.694687500874,0.3384537781640701,-3.2759655515244734,-3.277378004360255,3.4750661849975586
RandomForestRegressor,simple_norm,most_corr_features,"[20, 5]",1748.3775685282678,3056824.122132818,1442.862915319318,0.06703368886930469,0.8588471833480914,0.8588005572249957,2.938471555709839
RandomForestRegressor,simple_norm,least_corr_features,"[20, 5]",4220.244835657376,17810466.47289275,3524.8964704409445,0.16742817859462955,0.17757862144220438,0.17730695615529912,3.0063250064849854
RandomForestRegressor,hyp_tuning,most_corr_features,"[30, 10]",2189.2842822220987,4792965.668384731,1829.870439909715,0.07059300968529865,0.43443212101946593,0.4341705262558302,10.720689296722412
RandomForestRegressor,multi_splits,most_corr_features,"[30, 10]",9144.064476161819,216677696.59307152,8247.933489693649,0.3573167540192445,-1.5397141658828062,-1.5400664473003043,7.368317413330078
RandomForestRegressor,block_splits,most_corr_features,"[30, 10]",2199.158870065563,10544904.902688023,1875.61339466941,0.13007865658765022,-1.2690561889224372,-1.2716824113633196,2.874988579750061
RandomForestRegressor,final_validated,most_corr_features,"[30, 10]",1354.7580819619855,1835369.460641318,1048.8570856662618,0.043099850834078884,0.9152494358145608,0.9152214406931606,8.946682214736938
RandomForestRegressor,final_trained,most_corr_features,"[30, 10]",262.39528933685807,68851.28786617346,145.9313808413074,0.012188702142029285,0.9997414890691838,0.9997414830938025,11.058485269546509
